Frage (natürlichsprachlich),SQL-Query,Komplexität,Enthaltene Operatoren,,Antwort,Richtige Lösung,Zeit,Richtige Antwort?,Bei Fehler : Verwendete Query,Fehleranalyse
Wie viele neu bestätigte Gesamtfälle wurden am 2. Mai 2021 in Liguria gemeldet?,"SELECT new_total_confirmed_cases
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Liguria' AND DATE(date) = '2021-05-02';",Easy,LOGICAL CONNECTOR,,Am 2. Mai 2021 wurden in der Region Liguria 202 neu bestätigte COVID-19-Fälle gemeldet.,202,"8,09",Ja,,
Wie viele Patienten mit Symptomen wurden am 25. Februar 2021 in P:A Trento behandelt?,"SELECT hospitalized_patients_symptoms
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'P.A. Trento' AND DATE(date) = '2021-02-25';",Easy,LOGICAL CONNECTOR,,"Am 25. Februar 2021 wurden in der Region P.A. Trento 168 Patienten mit Symptomen behandelt.
",168,"8,34",Ja,,
Wie viele bestätigte Gesamtfälle gab es bis zum 5. Januar 2021 in Umbria?,"SELECT total_confirmed_cases
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Umbria' AND DATE(date) = '2021-01-05';",Easy,LOGICAL CONNECTOR,,"Bis zum 5. Januar 2021 gab es in der Region Umbria insgesamt 29,728 bestätigte COVID-19-Fälle.",29728,"8,2",Ja,,
Wie viele Provinzen pro Region meldeten am 1. April 2021 mindestens einen bestätigten COVID-19-Fall?,"SELECT region_name, COUNT(DISTINCT province_name) AS num_provinces
FROM bigquery-public-data.covid19_italy.data_by_region AS region
JOIN bigquery-public-data.covid19_italy.data_by_province AS province
ON region.region_code = province.region_code
WHERE DATE(region.date) = '2021-04-01' AND province.confirmed_cases > 0
GROUP BY region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 1. April 2021 meldeten die folgenden Regionen mindestens einen bestätigten COVID-19-Fall in den angegebenen Provinzen:     Piemonte: 10 Provinzen
Umbria: 4 Provinzen
Marche: 7 Provinzen
Lazio: 7 Provinzen
Abruzzo: 6 Provinzen
Campania: 7 Provinzen
Puglia: 8 Provinzen
Calabria: 7 Provinzen
Sicilia: 10 Provinzen
Sardegna: 7 Provinzen
P.A. Trento: 1 Provinz
Lombardia: 14 Provinzen
Veneto: 9 Provinzen
Friuli Venezia Giulia: 6 Provinzen
Liguria: 6 Provinzen
Emilia-Romagna: 11 Provinzen
Toscana: 12 Provinzen
Valle d'Aosta: 3 Provinzen
Basilicata: 4 Provinzen
Molise: 4 Provinzen
P.A. Bolzano: 1 Provinz","Piemonte: 10 Provinzen
Umbria: 4 Provinzen
Marche: 7 Provinzen
Lazio: 7 Provinzen
Abruzzo: 6 Provinzen
Campania: 7 Provinzen
Puglia: 8 Provinzen
Calabria: 7 Provinzen
Sicilia: 10 Provinzen
Sardegna: 7 Provinzen
P.A. Trento: 1 Provinz
Lombardia: 14 Provinzen
Veneto: 9 Provinzen
Friuli Venezia Giulia: 6 Provinzen
Liguria: 6 Provinzen
Emilia-Romagna: 11 Provinzen
Toscana: 12 Provinzen
Valle d'Aosta: 3 Provinzen
Basilicata: 4 Provinzen
Molise: 4 Provinzen
P.A. Bolzano: 1 Provinz","11,74",Ja,,
Wie hoch war die durchschnittliche Anzahl bisheriger bestätigter Fälle pro Provinz und Region am 2. März 2021?,"SELECT r.region_name, AVG(p.confirmed_cases) AS avg_cases
FROM `bigquery-public-data.covid19_italy.data_by_province` AS p
JOIN `bigquery-public-data.covid19_italy.data_by_region` AS r
ON p.region_code = r.region_code
WHERE DATE(p.date) = '2021-03-02'
GROUP BY r.region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 2. März 2021 war die durchschnittliche Anzahl bestätigter Fälle pro Provinz und Region wie folgt: Piemonte hatte durchschnittlich 24,990 Fälle, Liguria 13,104 Fälle, Toscana 13,181 Fälle, Calabria 5,448 Fälle, Lombardia 43,498 Fälle, Marche 9,817 Fälle, Puglia 18,588 Fälle, Sardegna 5,901 Fälle, Veneto 37,275 Fälle, Friuli Venezia Giulia 12,910 Fälle, Emilia-Romagna 24,110 Fälle, Umbria 11,263 Fälle, Lazio 33,780 Fälle, Campania 38,794 Fälle, Abruzzo 9,152 Fälle, Valle d'Aosta 2,688 Fälle, Molise 2,688 Fälle, Basilicata 3,964 Fälle und Sicilia 13,964 Fälle.","Piemonte hatte durchschnittlich 24,990 Fälle, Liguria 13,104 Fälle, Toscana 13,181 Fälle, Calabria 5,448 Fälle, Lombardia 43,498 Fälle, Marche 9,817 Fälle, Puglia 18,588 Fälle, Sardegna 5,901 Fälle, Veneto 37,275 Fälle, Friuli Venezia Giulia 12,910 Fälle, Emilia-Romagna 24,110 Fälle, Umbria 11,263 Fälle, Lazio 33,780 Fälle, Campania 38,794 Fälle, Abruzzo 9,152 Fälle, Valle d'Aosta 2,688 Fälle, Molise 2,688 Fälle, Basilicata 3,964 Fälle und Sicilia 13,964 Fälle","10,92",Ja,,
Wie viele Provinzmeldungen wurden am 3. März 2021 je Region erfasst?,"SELECT region_name, COUNT(DISTINCT province_name) AS num_province_reports
FROM bigquery-public-data.covid19_italy.data_by_region AS region
JOIN bigquery-public-data.covid19_italy.data_by_province AS province
ON region.region_code = province.region_code
WHERE DATE(region.date) = '2021-03-03'
GROUP BY region_name;
",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 3. März 2021 wurden die folgenden Anzahl von Provinzmeldungen pro Region erfasst: Liguria (6), Calabria (7), Marche (7), Sardegna (7), Lombardia (14), P.A. Bolzano (2), Veneto (9), Friuli Venezia Giulia (6), Emilia-Romagna (11), Campania (7), Abruzzo (6), Valle d'Aosta (3), Basilicata (4), Sicilia (11), Piemonte (10), Toscana (12), Puglia (8), P.A. Trento (2), Umbria (4), Lazio (7), Molise (4).","Liguria (6), Calabria (7), Marche (7), Sardegna (7), Lombardia (14), P.A. Bolzano (2), Veneto (9), Friuli Venezia Giulia (6), Emilia-Romagna (11), Campania (7), Abruzzo (6), Valle d'Aosta (3), Basilicata (4), Sicilia (11), Piemonte (10), Toscana (12), Puglia (8), P.A. Trento (2), Umbria (4), Lazio (7), Molise (4).","11,38",Ja,,
Wie hoch war die Zahl der Provinz mit den meisten bisher bestätigten Fälle pro Region am 4. März 2021?,"SELECT r.region_name, MAX(p.confirmed_cases) AS max_cases
FROM `bigquery-public-data.covid19_italy.data_by_province` AS p
JOIN `bigquery-public-data.covid19_italy.data_by_region` AS r
ON p.region_code = r.region_code
WHERE DATE(p.date) = '2021-03-04'
GROUP BY r.region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 4. März 2021 war die höchste Zahl bestätigter COVID-19-Fälle in einer Provinz pro Region in Italien wie folgt:

Liguria: Genova mit 364,142 Fällen
Calabria: Crotone mit 61,009 Fällen
Marche: Fermo mit 139,603 Fällen
Sardegna: Sud Sardegna mit 103,710 Fällen
Lombardia: Brescia mit 554,126 Fällen
P.A. Bolzano: Bolzano mit 2,634 Fällen
Veneto: Treviso mit 512,217 Fällen
Friuli Venezia Giulia: Udine mit 258,334 Fällen
Emilia-Romagna: Bologna mit 501,526 Fällen
Campania: Napoli mit 1,354,340 Fällen
Abruzzo: Chieti mit 200,266 Fällen
Valle d'Aosta: Aosta mit 48,453 Fällen
Basilicata: Potenza mit 131,301 Fällen
Sicilia: Palermo mit 430,997 Fällen
Piemonte: Torino mit 968,823 Fällen
Toscana: Firenze mit 446,003 Fällen
Puglia: Bari mit 546,819 Fällen
Lazio: Roma mit 1,902,019 Fällen
Molise: Campobasso mit 78,616 Fällen","[{
  ""region_name"": ""Piemonte"",
  ""max_cases"": ""134658""
}, {
  ""region_name"": ""Umbria"",
  ""max_cases"": ""35311""
}, {
  ""region_name"": ""Marche"",
  ""max_cases"": ""22935""
}, {
  ""region_name"": ""Lazio"",
  ""max_cases"": ""170554""
}, {
  ""region_name"": ""Abruzzo"",
  ""max_cases"": ""14701""
}, {
  ""region_name"": ""Campania"",
  ""max_cases"": ""163760""
}, {
  ""region_name"": ""Puglia"",
  ""max_cases"": ""58289""
}, {
  ""region_name"": ""Calabria"",
  ""max_cases"": ""15128""
}, {
  ""region_name"": ""Sicilia"",
  ""max_cases"": ""44722""
}, {
  ""region_name"": ""Sardegna"",
  ""max_cases"": ""13239""
}, {
  ""region_name"": ""Lombardia"",
  ""max_cases"": ""209702""
}, {
  ""region_name"": ""Veneto"",
  ""max_cases"": ""65866""
}, {
  ""region_name"": ""Friuli Venezia Giulia"",
  ""max_cases"": ""36545""
}, {
  ""region_name"": ""Liguria"",
  ""max_cases"": ""42690""
}, {
  ""region_name"": ""Emilia-Romagna"",
  ""max_cases"": ""64128""
}, {
  ""region_name"": ""Toscana"",
  ""max_cases"": ""43821""
}, {
  ""region_name"": ""Molise"",
  ""max_cases"": ""7821""
}, {
  ""region_name"": ""Basilicata"",
  ""max_cases"": ""10507""
}, {
  ""region_name"": ""Valle d\u0027Aosta"",
  ""max_cases"": ""7811""
}]","8,23",nein,"SELECT region_name, province_name, MAX(confirmed_cases) AS highest_confirmed_cases
FROM bigquery-public-data.covid19_italy.data_by_region AS region
JOIN bigquery-public-data.covid19_italy.data_by_province AS province
ON region.region_code = province.region_code
WHERE DATE(region.date) = '2021-03-04'
GROUP BY region_name, province_name;",
"„Wie hoch ist die Anzahl der Provinzen pro Region, die am 19. März 2021 mehr als 100.000 kumulierte Fälle meldeten?","SELECT region_name, COUNT(DISTINCT province_name) AS num_provinces
FROM bigquery-public-data.covid19_italy.data_by_region AS region
JOIN bigquery-public-data.covid19_italy.data_by_province AS province
ON region.region_code = province.region_code
WHERE DATE(region.date) = '2021-03-19'
AND province.confirmed_cases > 100000
GROUP BY region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 19. März 2021 meldeten die folgenden Anzahl von Provinzen pro Region in Italien mehr als 100.000 kumulierte COVID-19-Fälle: Liguria (3), Veneto (7), Friuli Venezia Giulia (3), Emilia-Romagna (11), Marche (7), Abruzzo (4), Calabria (3), Sicilia (7), Sardegna (3), Piemonte (4), Toscana (8), Lombardia (12), Puglia (6), Umbria (4), Lazio (4), Campania (7), Basilicata (1).","[{
  ""region_name"": ""Liguria"",
  ""num_provinces"": ""3""
}, {
  ""region_name"": ""Veneto"",
  ""num_provinces"": ""7""
}, {
  ""region_name"": ""Friuli Venezia Giulia"",
  ""num_provinces"": ""3""
}, {
  ""region_name"": ""Emilia-Romagna"",
  ""num_provinces"": ""11""
}, {
  ""region_name"": ""Marche"",
  ""num_provinces"": ""7""
}, {
  ""region_name"": ""Abruzzo"",
  ""num_provinces"": ""4""
}, {
  ""region_name"": ""Calabria"",
  ""num_provinces"": ""3""
}, {
  ""region_name"": ""Sicilia"",
  ""num_provinces"": ""7""
}, {
  ""region_name"": ""Sardegna"",
  ""num_provinces"": ""3""
}, {
  ""region_name"": ""Piemonte"",
  ""num_provinces"": ""4""
}, {
  ""region_name"": ""Toscana"",
  ""num_provinces"": ""8""
}, {
  ""region_name"": ""Lombardia"",
  ""num_provinces"": ""12""
}, {
  ""region_name"": ""Puglia"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Umbria"",
  ""num_provinces"": ""4""
}, {
  ""region_name"": ""Lazio"",
  ""num_provinces"": ""4""
}, {
  ""region_name"": ""Campania"",
  ""num_provinces"": ""7""
}, {
  ""region_name"": ""Basilicata"",
  ""num_provinces"": ""1""
}]","7,37",Ja,,
Wie hoch war die durchschnittliche Zahl bisher bestätigter COVID-19-Fälle pro Provinz in jeder Region am 15. März 2021?,"SELECT r.region_name, AVG(p.confirmed_cases) AS avg_cases
FROM `bigquery-public-data.covid19_italy.data_by_province` AS p
JOIN `bigquery-public-data.covid19_italy.data_by_region` AS r ON p.region_code = r.region_code
WHERE DATE(p.date) = '2021-03-15'
GROUP BY r.region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 15. März 2021 betrug die durchschnittliche Zahl bestätigter COVID-19-Fälle pro Provinz in den italienischen Regionen wie folgt:

Piemonte: 27,522
Liguria: 13,814
Toscana: 14,507
Calabria: 5,914
Lombardia: 47,802
Marche: 11,227
Puglia: 20,784
Sardegna: 6,079
Veneto: 39,462
Friuli Venezia Giulia: 14,424
Emilia-Romagna: 27,468
Umbria: 12,011
Lazio: 36,762
Campania: 43,635
Abruzzo: 10,069
Valle d'Aosta: 2,780
Molise: 2,911
Basilicata: 4,379
Sicilia: 14,666","Piemonte: 27,522
Liguria: 13,814
Toscana: 14,507
Calabria: 5,914
Lombardia: 47,802
Marche: 11,227
Puglia: 20,784
Sardegna: 6,079
Veneto: 39,462
Friuli Venezia Giulia: 14,424
Emilia-Romagna: 27,468
Umbria: 12,011
Lazio: 36,762
Campania: 43,635
Abruzzo: 10,069
Valle d'Aosta: 2,780
Molise: 2,911
Basilicata: 4,379
Sicilia: 14,666","9,21",Ja,,
Wie viele Provinzdatensätze wurden am 16. März 2021 je Region verarbeitet?,"SELECT r.region_name, COUNT(*) AS num_records
FROM `bigquery-public-data.covid19_italy.data_by_province` AS p
JOIN `bigquery-public-data.covid19_italy.data_by_region` AS r ON p.region_code = r.region_code
WHERE DATE(p.date) = '2021-03-16'
GROUP BY r.region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"m 16. März 2021 wurde folgende Anzahl an Provinzdatensätzen je Region verarbeitet:

Piemonte: 17.810

Liguria: 10.686

Toscana: 21.372

Calabria: 12.467

Lombardia: 24.934

Marche: 12.467

Puglia: 14.248

Sardegna: 12.467

Veneto: 16.029

Friuli Venezia Giulia: 10.686

Emilia-Romagna: 19.591

Umbria: 7.124

Lazio: 12.467

Campania: 12.467

Abruzzo: 10.686

Valle d'Aosta: 5.343

Molise: 7.124

Basilicata: 7.124

Sicilia: 19.591","Piemonte: 17.810

Liguria: 10.686

Toscana: 21.372

Calabria: 12.467

Lombardia: 24.934

Marche: 12.467

Puglia: 14.248

Sardegna: 12.467

Veneto: 16.029

Friuli Venezia Giulia: 10.686

Emilia-Romagna: 19.591

Umbria: 7.124

Lazio: 12.467

Campania: 12.467

Abruzzo: 10.686

Valle d'Aosta: 5.343

Molise: 7.124","8,35",Ja,,
Wie hoch war die höchste Zahl bestätigter COVID-19-Fälle in einer Provinz pro Region am 17. März 2021?,"SELECT r.region_name, MAX(p.confirmed_cases) AS max_cases
FROM `bigquery-public-data.covid19_italy.data_by_province` AS p
JOIN `bigquery-public-data.covid19_italy.data_by_region` AS r ON p.region_code = r.region_code
WHERE DATE(p.date) = '2021-03-17'
GROUP BY r.region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"Am 17. März 2021 war die höchste Zahl bestätigter COVID-19-Fälle in einer Provinz pro Region in Italien wie folgt:

Torino in Piemonte mit 149,462 Fällen
Genova in Liguria mit 44,726 Fällen
Prato in Toscana mit 15,159 Fällen
Crotone in Calabria mit 3,349 Fällen
Monza e della Brianza in Lombardia mit 64,270 Fällen
Fermo in Marche mit 8,407 Fällen
Barletta-Andria-Trani in Puglia mit 17,169 Fällen
Sud Sardegna in Sardegna mit 6,791 Fällen
Varese in Lombardia mit 69,000 Fällen
Bolzano in P.A. Bolzano mit 56,685 Fällen
Verona in Veneto mit 68,466 Fällen
Udine in Friuli Venezia Giulia mit 42,221 Fällen
Bologna in Emilia-Romagna mit 75,099 Fällen
Napoli in Campania mit 181,506 Fällen
L'Aquila in Abruzzo mit 14,546 Fällen
Aosta in Valle d'Aosta mit 8,142 Fällen
Campobasso in Molise mit 8,352 Fällen
Bari in Puglia mit 65,967 Fällen
Potenza in Basilicata mit 11,481 Fällen
Cosenza in Calabria mit 12,349 Fällen
Palermo in Sicilia mit 48,211 Fällen.","Torino in Piemonte mit 149,462 Fällen
Genova in Liguria mit 44,726 Fällen
Prato in Toscana mit 15,159 Fällen
Crotone in Calabria mit 3,349 Fällen
Monza e della Brianza in Lombardia mit 64,270 Fällen
Fermo in Marche mit 8,407 Fällen
Barletta-Andria-Trani in Puglia mit 17,169 Fällen
Sud Sardegna in Sardegna mit 6,791 Fällen
Varese in Lombardia mit 69,000 Fällen
Bolzano in P.A. Bolzano mit 56,685 Fällen
Verona in Veneto mit 68,466 Fällen
Udine in Friuli Venezia Giulia mit 42,221 Fällen
Bologna in Emilia-Romagna mit 75,099 Fällen
Napoli in Campania mit 181,506 Fällen
L'Aquila in Abruzzo mit 14,546 Fällen
Aosta in Valle d'Aosta mit 8,142 Fällen
Campobasso in Molise mit 8,352 Fällen
Bari in Puglia mit 65,967 Fällen
Potenza in Basilicata mit 11,481 Fällen
Cosenza in Calabria mit 12,349 Fällen
Palermo in Sicilia mit 48,211 Fällen.","6,98",Ja,,
Wie hoch war die niedrigste kumulierte Fallzahl einer Provinz je Region am 18. März 2021?,"SELECT r.region_name, MIN(p.confirmed_cases) AS min_cases
FROM `bigquery-public-data.covid19_italy.data_by_province` AS p
JOIN `bigquery-public-data.covid19_italy.data_by_region` AS r ON p.region_code = r.region_code
WHERE DATE(p.date) = '2021-03-18'
GROUP BY r.region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"I'm sorry, but I was unable to retrieve the data for the lowest cumulative number of confirmed COVID-19 cases in a province for each region on March 18, 2021. Please try again later or ask for a different query.","[{
  ""region_name"": ""Piemonte"",
  ""min_cases"": ""1299""
}, {
  ""region_name"": ""Liguria"",
  ""min_cases"": ""1528""
}, {
  ""region_name"": ""Toscana"",
  ""min_cases"": ""0""
}, {
  ""region_name"": ""Calabria"",
  ""min_cases"": ""0""
}, {
  ""region_name"": ""Lombardia"",
  ""min_cases"": ""7994""
}, {
  ""region_name"": ""Marche"",
  ""min_cases"": ""0""
}, {
  ""region_name"": ""Puglia"",
  ""min_cases"": ""257""
}, {
  ""region_name"": ""Sardegna"",
  ""min_cases"": ""0""
}, {
  ""region_name"": ""Veneto"",
  ""min_cases"": ""630""
}, {
  ""region_name"": ""Friuli Venezia Giulia"",
  ""min_cases"": ""0""
}, {
  ""region_name"": ""Emilia-Romagna"",
  ""min_cases"": ""1338""
}, {
  ""region_name"": ""Umbria"",
  ""min_cases"": ""0""
}, {
  ""region_name"": ""Lazio"",
  ""min_cases"": ""21""
}, {
  ""region_name"": ""Campania"",
  ""min_cases"": ""110""
}, {
  ""region_name"": ""Abruzzo"",
  ""min_cases"": ""187""
}, {
  ""region_name"": ""Valle d\u0027Aosta"",
  ""min_cases"": ""9""
}, {
  ""region_name"": ""Molise"",
  ""min_cases"": ""0""
}, {
  ""region_name"": ""Basilicata"",
  ""min_cases"": ""0""
}, {
  ""region_name"": ""Sicilia"",
  ""min_cases"": ""0""
}]","7,82",nein,"SELECT region_name, MIN(confirmed_cases) AS lowest_confirmed_cases
FROM bigquery-public-data.covid19_italy.data_by_province
WHERE DATE(date) = '2021-03-18'
GROUP BY region_name;",
"„Wie hoch ist die Anzahl der Provinzen pro Region, die am 19. März 2021 mehr als 1.000 kumulierte Fälle meldeten?“","SELECT region_name, COUNT(DISTINCT province_name) AS num_provinces
FROM bigquery-public-data.covid19_italy.data_by_region AS region
JOIN bigquery-public-data.covid19_italy.data_by_province AS province
ON region.region_code = province.region_code
WHERE DATE(region.date) = '2021-03-19'
AND province.confirmed_cases > 1000
GROUP BY region_name;",Medium,"JOIN, LOGICAL CONNECTOR",,"m 19. März 2021 überschritten die folgenden Anzahl von Provinzen pro Region in Italien 1.000 kumulierte COVID-19-Fälle:

Piemonte: 10 Provinzen
Umbria: 4 Provinzen
Marche: 7 Provinzen
Lazio: 6 Provinzen
Abruzzo: 6 Provinzen
Campania: 7 Provinzen
Puglia: 8 Provinzen
Calabria: 6 Provinzen
Sicilia: 9 Provinzen
P.A. Bolzano: 1 Provinz
P.A. Trento: 1 Provinz
Lombardia: 14 Provinzen
Veneto: 9 Provinzen
Friuli Venezia Giulia: 5 Provinzen
Liguria: 6 Provinzen
Emilia-Romagna: 11 Provinzen
Toscana: 11 Provinzen
Valle d'Aosta: 3 Provinzen
Basilicata: 3 Provinzen
Molise: 3 Provinzen
Sardegna: 5 Provinzen.","[{
  ""region_name"": ""Liguria"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Calabria"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Marche"",
  ""num_provinces"": ""7""
}, {
  ""region_name"": ""Sardegna"",
  ""num_provinces"": ""5""
}, {
  ""region_name"": ""P.A. Bolzano"",
  ""num_provinces"": ""1""
}, {
  ""region_name"": ""Veneto"",
  ""num_provinces"": ""9""
}, {
  ""region_name"": ""Friuli Venezia Giulia"",
  ""num_provinces"": ""5""
}, {
  ""region_name"": ""Emilia-Romagna"",
  ""num_provinces"": ""11""
}, {
  ""region_name"": ""Campania"",
  ""num_provinces"": ""7""
}, {
  ""region_name"": ""Abruzzo"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Valle d\u0027Aosta"",
  ""num_provinces"": ""3""
}, {
  ""region_name"": ""Basilicata"",
  ""num_provinces"": ""3""
}, {
  ""region_name"": ""Sicilia"",
  ""num_provinces"": ""9""
}, {
  ""region_name"": ""Piemonte"",
  ""num_provinces"": ""10""
}, {
  ""region_name"": ""Toscana"",
  ""num_provinces"": ""11""
}, {
  ""region_name"": ""Lombardia"",
  ""num_provinces"": ""14""
}, {
  ""region_name"": ""Puglia"",
  ""num_provinces"": ""8""
}, {
  ""region_name"": ""P.A. Trento"",
  ""num_provinces"": ""1""
}, {
  ""region_name"": ""Umbria"",
  ""num_provinces"": ""4""
}, {
  ""region_name"": ""Lazio"",
  ""num_provinces"": ""6""
}, {
  ""region_name"": ""Molise"",
  ""num_provinces"": ""3""
}]","7,25",Ja,,
